,RandomForest,XGBoost,LogisticRegression_abs_coef
Glucose,0.33765223049751053,0.30076584,1.182511437316831
BMI,0.1644160715705281,0.15013975,0.6887347098715282
Age,0.12025941178637142,0.13232967,0.1477984842811931
Insulin,0.09986303737744906,0.10068871,0.06615746318853284
DiabetesPedigreeFunction,0.09567972766732179,0.09079871,0.23338637833551307
Pregnancies,0.06226334261452783,0.093415216,0.3775023452572797
SkinThickness,0.06122584605569836,0.059165094,0.028225186008252356
BloodPressure,0.058640332430592856,0.07269697,0.04406579601479797
